[91mDeleted message -> [0mslackbot : email uploaded a file: <https://ecoevo.slack.com/files/slackbot/F0MTZEE3A/request_for_approval__travel_request__guest___78000_yen__rent_for_claire_morandin__south_hill_211_|Request for approval: Travel Request (Guest), 78000 Yen, Rent for Claire Morandin (South Hill 211)>
[91mDeleted message -> [0mslackbot : email uploaded a file: <https://ecoevo.slack.com/files/slackbot/F0KKGLFNG/request_for_approval__direct_order__235_926_yen__reagent_t4_polynucleotide_kinase__t4_dna_polymerase__pcr_buffer__endonuclease___user_enzyme|Request for approval: Direct Order, 235,926 Yen, Reagent:T4 Polynucleotide Kinase, T4 DNA Polymerase, PCR Buffer, Endonuclease &amp; USER Enzyme>
[91mDeleted message -> [0mslackbot : email uploaded a file: <https://ecoevo.slack.com/files/slackbot/F0KKEDSUT/25ul__6.25ml_kk2602_genetics|Request for approval: Direct Order, 75,600 Yen, Reagent:KAPA HiFi HS ReadyMix (500/25ul) 6.25ml KK2602 Genetics>
[91mDeleted message -> [0mslackbot : email uploaded a file: <https://ecoevo.slack.com/files/slackbot/F0KFV6HSP/request_for_approval__meeting_fee_request_in_advance__18_000_yen__meeting_expense__discussion_for_potential_collaboration_in_social_insect_genetics_and_ecology|Request for approval: Meeting Fee Request in advance, 18,000 Yen, Meeting Expense: Discussion for potential collaboration in social insect genetics and ecology>
[91mDeleted message -> [0mslackbot : email uploaded a file: <https://ecoevo.slack.com/files/slackbot/F0KFMRRV2/request_for_approval__direct_order__7_830_yen__reagents__cadaverine___putrescine|Request for approval: Direct Order, 7,830 Yen, Reagents :Cadaverine &amp; Putrescine>
[91mDeleted message -> [0mslackbot : email uploaded a file: <https://ecoevo.slack.com/files/slackbot/F0KFURHT2/request_for_approval__direct_order__2_970_yen__consumables__iphone6_case___protection_glass__p-card_|Request for approval: Direct Order, 2,970 Yen, Consumables: iPhone6 case &amp; protection glass (P-card)>
[91mDeleted message -> [0mslackbot : email uploaded a file: <https://ecoevo.slack.com/files/slackbot/F0K4G1UJ2/request_for_approval__direct_order__200_000_yen__outsourcing__beekeeping_instruction_fee___february|Request for approval: Direct Order, 200,000 Yen, Outsourcing: Beekeeping instruction fee : February>
[91mDeleted message -> [0mslackbot : email uploaded a file: <https://ecoevo.slack.com/files/slackbot/F0K4EE6NN/request_for_approval__direct_order__262_386_yen__reagent_phenol___miseq_reagnet_kit|Request for approval: Direct Order, 262,386 Yen, Reagent:Phenol &amp; Miseq reagnet kit>
[91mDeleted message -> [0mslackbot : email uploaded a file: <https://ecoevo.slack.com/files/slackbot/F0K4AEJ2H/25ul__6.25ml_kk2602_genetics|Request for approval: Direct Order, 75,600 Yen, Reagent:KAPA HiFi HS ReadyMix (500/25ul) 6.25ml KK2602 Genetics>
[91mDeleted message -> [0mslackbot : email uploaded a file: <https://ecoevo.slack.com/files/slackbot/F0K1JCQVD/request_for_approval__direct_order__283_716_yen__outsourcing__sequencing_analysis|Request for approval: Direct Order, 283,716 Yen, Outsourcing: Sequencing analysis>
[91mDeleted message -> [0mslackbot : email uploaded a file: <https://ecoevo.slack.com/files/slackbot/F0K0Y4V61/request_for_approval__direct_order__257_175_yen__outsourcing__snake_genome_data_analysis|Request for approval: Direct Order, 257,175 Yen, Outsourcing: Snake Genome Data Analysis>
[91mDeleted message -> [0mslackbot : email uploaded a file: <https://ecoevo.slack.com/files/slackbot/F0JTD2WLF/request_for_approval__purchase_request__unit___1_669_896_yen__reagents__illumina_hiseq_sr_cluster_kit_v4_cblot___hiseq_sbs_kit_v4_50_cycle_kit|Request for approval: Purchase Request (Unit), 1,669,896 Yen, Reagents :Illumina Hiseq SR Cluster kit v4 cBlot &amp; Hiseq SBS kit v4 50 cycle kit>
[91mDeleted message -> [0mslackbot : email uploaded a file: <https://ecoevo.slack.com/files/slackbot/F0JQV02MN/request_for_approval__direct_order__8_424_yen__reagents__poly_ethylene_glycol__bioultra__4_000__95904-250-f__sigma|Request for approval: Direct Order, 8,424 Yen, Reagents :Poly(ethylene glycol) BioUltra, 4,000  95904-250-F  Sigma>
[91mDeleted message -> [0mslackbot : email uploaded a file: <https://ecoevo.slack.com/files/slackbot/F0JQR6HQT/request_for_approval__direct_order__40_156_yen__reagents__qiaamp_dna_micro_kit__50___qiagen___ethanol_99.5___nacalai|Request for approval: Direct Order, 40,156 Yen, Reagents :QIAamp DNA Micro Kit (50)  Qiagen &amp; Ethanol(99.5)  Nacalai>
[91mDeleted message -> [0mslackbot : email uploaded a file: <https://ecoevo.slack.com/files/slackbot/F0JMM1JJC/request_for_approval__purchase_request__unit___752_680_yen__reagents__user_enzyme__ethanol__carboxylic_acid__buffer__high_sensitivity_dna_kit|Request for approval: Purchase Request (Unit), 752,680 Yen, Reagents :USER Enzyme, Ethanol, Carboxylic acid, Buffer, High Sensitivity DNA kit>
[91mDeleted message -> [0msasha : <@U040H0463|sasha> has joined the group

[92m27[0m message(s) cleaned.

